file,BP_score,CW_score,SECT_score,BP_time,CW_time,SECT_time
A_014_#ABS1_15_1.prp,21744.063854635893,15635.991220239124,12422.161737710303,3.7474e-5,0.003035892,0.00018973999999999998
A_014_ABS10_15_1.prp,21744.063854635893,15635.991220239124,12422.161737710303,2.7428000000000002e-5,0.0027327119999999996,0.00014074499999999998
A_014_ABS10_15_2.prp,21919.79359136722,18014.997183167365,10612.855957208953,4.8284e-5,0.003488211,0.000181703
A_014_ABS10_15_3.prp,21433.78395540049,12129.2612641462,12560.246328293555,3.1667999999999996e-5,0.002887851,0.000149722
A_014_ABS10_15_4.prp,18790.280250509764,13646.162424898026,20682.156645775212,2.7844000000000003e-5,0.0027107399999999997,0.000140488
A_014_ABS10_15_5.prp,23063.00608408628,16084.881104156284,9447.633345816635,2.7634e-5,0.002989381,0.00017573100000000002
A_014_ABS11_15_1.prp,21744.063854635893,15635.991220239124,12422.161737710303,2.4643e-5,0.002575394,0.000130586
A_014_ABS11_15_2.prp,21919.79359136722,18014.997183167365,10612.855957208953,2.3217e-5,0.00254069,0.00012008400000000001
A_014_ABS11_15_3.prp,21433.78395540049,12129.2612641462,12560.246328293555,2.2818e-5,0.002406751,0.000114325
A_014_ABS11_15_4.prp,18790.280250509764,13646.162424898026,20682.156645775212,2.9790000000000004e-5,0.014480058999999998,0.000133279
A_014_ABS11_15_5.prp,23063.00608408628,16084.881104156284,9447.633345816635,2.3819000000000004e-5,0.002481133,0.00013203
A_014_ABS12_15_1.prp,17520.917044871818,14894.844403429172,8302.376020155867,2.4980999999999997e-5,0.0033371909999999998,0.00012024900000000001
A_014_ABS12_15_2.prp,19725.608413239406,16175.85756501438,8505.078365974845,2.5972e-5,0.003318443,0.000121724
A_014_ABS12_15_3.prp,18884.58859704861,2877.072791022963,12504.037490365972,2.4306999999999996e-5,0.0027971359999999995,0.00011744799999999999
A_014_ABS12_15_4.prp,17276.850268068683,2636.2917701011665,16838.917234696182,3.4984e-5,0.003247745,0.00017808800000000002
A_014_ABS12_15_5.prp,19786.445637880573,13313.809055509199,8810.590439147985,2.5785999999999997e-5,0.003677003,0.000125685
A_014_ABS13_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.4607e-5,0.0026277480000000005,0.000122262
A_014_ABS13_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.6158000000000003e-5,0.002794097,0.00014101999999999997
A_014_ABS13_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,2.3775999999999997e-5,0.0025022860000000003,0.000121063
A_014_ABS13_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,7.293600000000001e-5,0.002940362,0.000163798
A_014_ABS13_15_5.prp,46082.496775415704,32139.06094765546,18861.59095792055,2.5614e-5,0.002474972,0.00011752600000000001
A_014_ABS14_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.3220999999999997e-5,0.002365468,0.000115938
A_014_ABS14_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.3889e-5,0.002450831,0.00013231200000000002
