file,BP_score,CW_score,SECT_score,BP_time,CW_time,SECT_time
A_014_#ABS1_15_1.prp,21744.063854635893,15635.991220239124,12422.161737710303,4.0412e-5,0.0031967360000000004,0.00018354
A_014_ABS10_15_1.prp,21744.063854635893,15635.991220239124,12422.161737710303,7.073100000000001e-5,0.005293242,0.000292287
A_014_ABS10_15_2.prp,21919.79359136722,18014.997183167365,10612.855957208953,5.9486e-5,0.005038329,0.000266368
A_014_ABS10_15_3.prp,21433.78395540049,12129.2612641462,12560.246328293555,7.1326e-5,0.005613224,0.000330317
A_014_ABS10_15_4.prp,18790.280250509764,13646.162424898026,20682.156645775212,3.5935e-5,0.003602695,0.00017253699999999998
A_014_ABS10_15_5.prp,23063.00608408628,16084.881104156284,9447.633345816635,4.8993e-5,0.003532624,0.00033487
A_014_ABS11_15_1.prp,21744.063854635893,15635.991220239124,12422.161737710303,2.5844000000000002e-5,0.002502451,0.00014560799999999998
A_014_ABS11_15_2.prp,21919.79359136722,18014.997183167365,10612.855957208953,2.4516e-5,0.002556011,0.000151354
A_014_ABS11_15_3.prp,21433.78395540049,12129.2612641462,12560.246328293555,4.097199999999999e-5,0.0028411499999999998,0.00015408
A_014_ABS11_15_4.prp,18790.280250509764,13646.162424898026,20682.156645775212,2.6225999999999996e-5,0.002874181,0.000163278
A_014_ABS11_15_5.prp,23063.00608408628,16084.881104156284,9447.633345816635,2.5912e-5,0.0025341849999999996,0.000140178
A_014_ABS12_15_1.prp,17520.917044871818,14894.844403429172,8302.376020155867,2.7846e-5,0.003645855,0.00014077700000000002
A_014_ABS12_15_2.prp,19725.608413239406,16175.85756501438,8505.078365974845,2.6513e-5,0.0033566139999999995,0.000130978
A_014_ABS12_15_3.prp,18884.58859704861,2877.072791022963,12504.037490365972,2.703e-5,0.00277117,0.000130648
A_014_ABS12_15_4.prp,17276.850268068683,2636.2917701011665,16838.917234696182,2.6583e-5,0.002841879,0.000130825
A_014_ABS12_15_5.prp,19786.445637880573,13313.809055509199,8810.590439147985,2.7814000000000002e-5,0.00368125,0.00012939899999999999
A_014_ABS13_15_1.prp,43458.859369653255,29772.75341914817,24793.137656963994,2.8677e-5,0.0028534520000000002,0.000151361
A_014_ABS13_15_2.prp,43762.63680491192,35980.23729534013,21188.497331351995,2.3643e-5,0.0025725749999999997,0.000154907
A_014_ABS13_15_3.prp,42822.68168171163,24193.375457441332,25071.02603537155,4.2794000000000004e-5,0.0027265559999999998,0.000164656
A_014_ABS13_15_4.prp,37575.61395699309,27239.214159790343,41361.570733513094,2.3575e-5,0.0023629299999999996,0.000137367
